Roll,Pitch,Yaw,Time
-12.53,-33.83,-56.03,4.4053
-7.55,-40.48,-48.08,4.4788
-9.54,-51.57,-43.62,4.5486
-10.58,-30.69,-54.62,4.6222
-12.44,-37.95,-52.29,4.6921
-5.82,-34.15,-47.45,4.7654
-5.25,-38.54,-44.92,4.8358
-6.94,-36.82,-46.89,4.9088
-3.00,-38.19,-42.23,4.9788
-4.70,-39.74,-42.60,5.0486
-5.17,-37.04,-46.79,5.1220
-5.43,-37.40,-47.12,5.1918
-5.85,-38.64,-44.74,5.2653
-5.72,-38.66,-44.02,5.3351
-4.06,-37.40,-44.03,5.4086
-3.51,-40.09,-39.19,5.4786
-5.13,-36.17,-44.37,5.5518
-4.70,-37.65,-41.84,5.6217
-5.14,-37.28,-44.38,5.6914
-4.56,-36.51,-43.92,5.7650
-5.14,-38.00,-43.40,5.8347
-5.32,-36.73,-44.20,5.9084
-4.48,-38.04,-44.11,5.9781
-8.21,-38.62,-46.57,6.0516
-5.31,-36.40,-46.76,6.1217
-5.83,-38.92,-44.07,6.1948
-7.15,-36.69,-46.95,6.2652
-4.66,-38.27,-47.10,6.3347
-6.90,-37.27,-46.43,6.4082
-5.83,-37.29,-45.97,6.4778
-5.74,-38.55,-44.53,6.5514
-4.41,-37.29,-44.99,6.6212
-7.07,-37.85,-46.68,6.6947
-4.35,-38.12,-44.82,6.7649
-6.17,-37.72,-44.79,6.8344
-6.48,-37.43,-46.56,6.9081
-5.97,-37.75,-47.03,6.9776
-6.19,-37.74,-46.47,7.0512
-6.90,-37.62,-46.99,7.1209
-5.91,-36.91,-47.66,7.1945
-6.46,-37.86,-46.70,7.2645
-6.45,-37.47,-47.71,7.3379
-6.46,-37.81,-45.31,7.4080
-6.19,-37.81,-46.83,7.4811
-6.25,-37.65,-47.43,7.5512
-6.29,-37.82,-45.79,7.6210
-6.21,-37.85,-45.92,7.6947
-6.19,-37.61,-46.94,7.7642
-6.05,-37.81,-46.43,7.8376
-6.20,-37.82,-46.31,7.9075
-5.99,-37.59,-45.21,7.9809
-6.34,-37.84,-45.31,8.0508
-6.36,-37.30,-46.29,8.1242
-6.10,-37.73,-45.65,8.1943
-5.95,-37.92,-46.00,8.2639
-6.19,-37.85,-47.56,8.3377
-6.34,-37.58,-47.02,8.4073
-6.39,-37.45,-45.54,8.4807
-6.18,-37.40,-46.19,8.5506
-6.29,-37.84,-45.61,8.6241
-6.30,-37.62,-47.32,8.6940
-6.19,-37.77,-47.92,8.7674
-6.13,-37.43,-46.34,8.8374
-6.26,-37.70,-47.74,8.9071
-6.21,-37.63,-46.07,8.9805
-6.01,-37.77,-47.16,9.0503
-5.89,-37.91,-45.08,9.1239
-5.15,-37.98,-45.25,9.1937
-6.19,-37.58,-46.82,9.2672
-6.45,-37.40,-47.50,9.3371
-6.37,-37.89,-46.07,9.4105
-6.05,-37.67,-45.62,9.4804
-6.21,-37.71,-45.88,9.5500
-6.59,-37.79,-46.97,9.6237
-6.28,-37.10,-45.53,9.6934
-6.18,-37.99,-45.06,9.7669
-4.77,-37.97,-43.30,9.8368
-6.00,-38.21,-44.40,9.9103
-5.44,-37.84,-45.89,9.9802
-5.97,-38.32,-44.06,10.053
-6.12,-37.57,-45.38,10.123
-6.21,-37.47,-45.27,10.193
-6.54,-37.63,-46.65,10.266
-6.16,-37.84,-46.82,10.336
-6.02,-37.59,-45.89,10.410
-6.52,-37.99,-46.43,10.479
-5.91,-37.84,-44.86,10.553
