Roll,Pitch,Yaw,Time
-11.72,77.62,-134.65,0.0327
-11.63,77.61,-134.81,0.0327
-11.73,77.54,-135.52,0.0328
-11.64,77.71,-134.34,0.0328
-11.97,77.29,-133.18,0.0329
-11.51,77.82,-134.84,0.0329
-11.67,77.61,-134.62,0.033
-11.88,77.26,-134.22,0.033
-11.71,77.63,-135.58,0.0331
-11.52,77.93,-134.71,0.0331
-11.7,77.62,-135.42,0.0332
-11.85,77.51,-135.85,0.0332
-11.6,77.65,-135.82,0.0333
-11.73,77.68,-135.37,0.0333
-11.5,77.58,-134.86,0.0334
-11.74,77.61,-134.97,0.0334
-11.69,77.73,-135.93,0.0335
-11.94,77.39,-133.36,0.0335
-11.56,77.7,-134.83,0.0336
-11.74,77.63,-134.39,0.0336
-11.81,77.4,-134.5,0.0336
-11.45,77.83,-136.23,0.0337
-11.4,77.89,-135.62,0.0337
-11.42,78.03,-134.37,0.0338
-11.5,77.94,-135.59,0.0338
-11.58,77.89,-133.99,0.0339
-11.56,77.92,-134.41,0.0339
-11.55,77.92,-135.85,0.034
-11.78,77.53,-134.74,0.034
-11.65,77.72,-135.16,0.0341
-11.75,77.55,-135.25,0.0341
-11.39,77.93,-135.47,0.0342
-12.0,77.43,-134.61,0.0342
-11.37,77.9,-135.68,0.0343
-11.72,77.68,-135.38,0.0343
-11.33,78.06,-136.42,0.0344
-11.67,77.59,-136.05,0.0344
-11.84,77.53,-133.91,0.0345
-11.52,77.86,-135.42,0.0345
-11.43,77.69,-136.16,0.0345
-11.65,77.62,-135.57,0.0346
-12.16,76.71,-133.84,0.0347
-11.95,77.5,-134.53,0.0347
-11.65,77.62,-134.9,0.0347
-11.49,77.84,-135.45,0.0348
-11.52,77.92,-135.59,0.0348
-12.34,77.08,-133.99,0.0349
-11.56,77.59,-134.04,0.0349
-11.28,78.03,-136.25,0.035
-11.25,78.13,-136.47,0.035
-11.93,77.73,-134.76,0.0351
-11.4,77.88,-134.23,0.0351
-11.9,77.53,-134.66,0.0352
-11.58,77.76,-136.01,0.0352
-11.71,77.82,-135.03,0.0353
-10.51,79.0,-136.92,0.0353
-11.06,78.56,-136.04,0.0354
-10.68,79.18,-135.41,0.0354
-10.07,79.54,-135.91,0.0355
-12.07,77.87,-134.65,0.0355
-10.37,79.58,-136.63,0.0356
-9.14,80.81,-137.3,0.0356
-9.9,80.08,-138.02,0.0357
-10.65,79.27,-136.86,0.0357
-10.56,79.14,-136.23,0.0358
-10.43,79.57,-135.91,0.0358
-9.56,80.4,-136.54,0.0358
-10.21,79.72,-136.4,0.0359
-9.39,80.48,-137.41,0.0359
-10.33,79.52,-135.48,0.036
-10.33,79.67,-136.17,0.036
-10.49,79.46,-135.28,0.0361
-10.03,79.88,-135.95,0.0361
-11.85,77.75,-136.74,0.0362
-10.43,79.4,-136.64,0.0362
-9.55,80.37,-136.29,0.0363
-10.15,79.78,-137.65,0.0363
-10.4,79.47,-136.39,0.0364
-10.82,79.08,-136.2,0.0364
-11.43,78.42,-135.75,0.0364
-11.01,78.89,-136.12,0.0365
-10.19,79.79,-136.81,0.0365
-10.44,79.41,-135.84,0.0366
-9.95,79.85,-136.25,0.0366
-10.21,79.65,-135.66,0.0367
-10.01,79.86,-137.27,0.0367
-10.97,78.9,-136.07,0.0368
-10.45,79.45,-137.43,0.0368
-11.08,78.76,-135.76,0.0369
-10.57,79.24,-135.69,0.0369
-10.92,79.02,-136.55,0.037
-10.26,79.59,-136.06,0.037
-10.41,79.41,-136.36,0.0371
-10.73,79.06,-136.25,0.0371
-10.23,79.59,-137.17,0.0371
-9.84,80.13,-135.45,0.0372
-9.91,79.93,-136.54,0.0372
-11.06,78.8,-136.53,0.0373
-10.34,79.55,-136.97,0.0373
-10.24,79.64,-137.55,0.0374
-10.67,79.18,-136.25,0.0374
-10.27,79.65,-135.41,0.0375
-10.7,79.26,-136.79,0.0375
-10.58,79.32,-135.94,0.0376
-10.4,79.44,-137.16,0.0376
-10.59,79.3,-136.18,0.0377
-11.03,78.81,-135.96,0.0377
-11.07,78.8,-137.28,0.0377
-11.0,78.78,-136.91,0.0378
-11.15,78.64,-136.08,0.038
-11.19,78.61,-136.23,0.0381
-10.56,79.27,-136.45,0.0381
-10.5,79.32,-135.53,0.0382
-10.6,79.36,-134.95,0.0382
-10.89,79.06,-136.1,0.0382
-11.26,78.44,-136.7,0.0383
-11.1,78.88,-135.69,0.0383
-9.57,80.27,-137.0,0.0384
-10.6,79.34,-135.23,0.0384
-9.87,79.96,-136.81,0.0385
-10.31,79.57,-135.75,0.0385
-10.84,79.05,-135.8,0.0386
-11.07,78.82,-134.58,0.0386
-10.26,79.66,-136.59,0.0387
-10.65,79.28,-136.2,0.0387
-10.46,79.41,-136.33,0.0388
-11.2,78.73,-136.19,0.0388
-10.79,79.07,-135.76,0.0389
-10.96,78.95,-136.33,0.0389
-10.6,79.32,-135.85,0.0389
-11.27,78.58,-135.35,0.039
-10.98,78.91,-135.58,0.039
-10.92,78.95,-135.14,0.0391
-11.75,78.17,-135.27,0.0391
-10.86,79.01,-136.08,0.0392
-11.26,78.67,-135.28,0.0392
-10.58,79.33,-136.87,0.0393
-11.11,78.75,-135.38,0.0393
-10.67,79.15,-136.57,0.0394
-11.14,78.68,-135.65,0.0394
-11.06,78.86,-136.24,0.0395
-10.81,79.0,-136.82,0.0395
-10.78,79.1,-135.9,0.0396
-10.82,79.02,-137.05,0.0396
-10.77,79.16,-136.6,0.0397
-10.75,79.18,-136.58,0.0397
-10.73,79.2,-136.59,0.0398
-10.93,78.98,-135.67,0.0398
